time,OPENET_ID,SWU_ID,pr,acres,acre-feet
2022-10-01,ORx_25338,SWU_UMAT0013,2.276,4.24,0.804
2022-10-01,ORx_25362,SWU_UMAT0012,2.276,3.67,0.696
2022-10-01,ORx_24912,SWU_UMAT0008,2.358,2.562,0.503
2022-10-01,ORx_24915,SWU_UMAT0008,2.358,9.296,1.827
2022-11-01,ORx_25334,SWU_UMAT0013,2.358,4.965,0.976
2022-11-01,ORx_25179,SWU_UMAT0013,2.358,0.958,0.188
2022-11-01,ORx_25338,SWU_UMAT0013,2.358,4.24,0.833
2022-11-01,ORx_25362,SWU_UMAT0012,2.358,3.67,0.721
2022-11-01,ORx_24912,SWU_UMAT0008,2.299,2.562,0.491
2022-11-01,ORx_24915,SWU_UMAT0008,2.299,9.296,1.781
2022-12-01,ORx_25334,SWU_UMAT0013,1.854,4.965,0.767
2022-12-01,ORx_25179,SWU_UMAT0013,1.854,0.958,0.148
2022-12-01,ORx_25338,SWU_UMAT0013,1.854,4.24,0.655
2022-12-01,ORx_25362,SWU_UMAT0012,1.854,3.67,0.567
2022-12-01,ORx_24912,SWU_UMAT0008,1.913,2.562,0.408
2022-12-01,ORx_24915,SWU_UMAT0008,1.913,9.296,1.482
2023-01-01,ORx_25334,SWU_UMAT0013,0.783,4.965,0.324
2023-01-01,ORx_25179,SWU_UMAT0013,0.783,0.958,0.063
2023-01-01,ORx_25338,SWU_UMAT0013,0.783,4.24,0.277
2023-01-01,ORx_25362,SWU_UMAT0012,0.783,3.67,0.239
2023-01-01,ORx_24912,SWU_UMAT0008,0.717,2.562,0.153
2023-01-01,ORx_24915,SWU_UMAT0008,0.717,9.296,0.555
2023-02-01,ORx_25334,SWU_UMAT0013,0.594,4.965,0.246
2023-02-01,ORx_25179,SWU_UMAT0013,0.594,0.958,0.047
2023-02-01,ORx_25338,SWU_UMAT0013,0.594,4.24,0.21
2023-02-01,ORx_25362,SWU_UMAT0012,0.594,3.67,0.182
2023-02-01,ORx_24912,SWU_UMAT0008,0.587,2.562,0.125
2023-02-01,ORx_24915,SWU_UMAT0008,0.587,9.296,0.455
2023-03-01,ORx_25334,SWU_UMAT0013,1.724,4.965,0.713
2023-03-01,ORx_25179,SWU_UMAT0013,1.724,0.958,0.138
2023-03-01,ORx_25338,SWU_UMAT0013,1.724,4.24,0.609
2023-03-01,ORx_25362,SWU_UMAT0012,1.724,3.67,0.527
2023-03-01,ORx_24912,SWU_UMAT0008,1.417,2.562,0.303
2023-03-01,ORx_24915,SWU_UMAT0008,1.417,9.296,1.098
2023-04-01,ORx_25334,SWU_UMAT0013,1.776,4.965,0.735
2023-04-01,ORx_25179,SWU_UMAT0013,1.776,0.958,0.142
2023-04-01,ORx_25338,SWU_UMAT0013,1.776,4.24,0.628
2023-04-01,ORx_25362,SWU_UMAT0012,1.776,3.67,0.543
2023-04-01,ORx_24912,SWU_UMAT0008,1.709,2.562,0.365
2023-04-01,ORx_24915,SWU_UMAT0008,1.709,9.296,1.324
2023-05-01,ORx_25334,SWU_UMAT0013,0.508,4.965,0.21
2023-05-01,ORx_25179,SWU_UMAT0013,0.508,0.958,0.041
2023-05-01,ORx_25338,SWU_UMAT0013,0.508,4.24,0.179
2023-05-01,ORx_25362,SWU_UMAT0012,0.508,3.67,0.155
2023-05-01,ORx_24912,SWU_UMAT0008,0.425,2.562,0.091
2023-05-01,ORx_24915,SWU_UMAT0008,0.425,9.296,0.329
2023-06-01,ORx_25334,SWU_UMAT0013,0.083,4.965,0.034
2023-06-01,ORx_25179,SWU_UMAT0013,0.083,0.958,0.007
2023-06-01,ORx_25338,SWU_UMAT0013,0.083,4.24,0.029
2023-06-01,ORx_25362,SWU_UMAT0012,0.083,3.67,0.025
2023-06-01,ORx_24912,SWU_UMAT0008,0.039,2.562,0.008
2023-06-01,ORx_24915,SWU_UMAT0008,0.039,9.296,0.03
2023-07-01,ORx_25334,SWU_UMAT0013,0.114,4.965,0.047
2023-07-01,ORx_25179,SWU_UMAT0013,0.114,0.958,0.009
2023-07-01,ORx_25338,SWU_UMAT0013,0.114,4.24,0.04
2023-07-01,ORx_25362,SWU_UMAT0012,0.114,3.67,0.035
2023-07-01,ORx_24912,SWU_UMAT0008,0.146,2.562,0.031
2023-07-01,ORx_24915,SWU_UMAT0008,0.146,9.296,0.113
2023-08-01,ORx_25334,SWU_UMAT0013,0.575,4.965,0.238
2023-08-01,ORx_25179,SWU_UMAT0013,0.575,0.958,0.046
2023-08-01,ORx_25338,SWU_UMAT0013,0.575,4.24,0.203
2023-08-01,ORx_25362,SWU_UMAT0012,0.575,3.67,0.176
2023-08-01,ORx_24912,SWU_UMAT0008,0.543,2.562,0.116
2023-08-01,ORx_24915,SWU_UMAT0008,0.543,9.296,0.421
2023-09-01,ORx_25334,SWU_UMAT0013,0.862,4.965,0.357
2023-09-01,ORx_25179,SWU_UMAT0013,0.862,0.958,0.069
2023-09-01,ORx_25338,SWU_UMAT0013,0.862,4.24,0.305
2023-09-01,ORx_25362,SWU_UMAT0012,0.862,3.67,0.264
2023-09-01,ORx_24912,SWU_UMAT0008,0.827,2.562,0.177
2023-09-01,ORx_24915,SWU_UMAT0008,0.827,9.296,0.641
2023-10-01,ORx_25334,SWU_UMAT0013,1.295,4.965,0.536
2023-10-01,ORx_25179,SWU_UMAT0013,1.295,0.958,0.103
2023-10-01,ORx_25338,SWU_UMAT0013,1.295,4.24,0.458
2023-10-01,ORx_25362,SWU_UMAT0012,1.295,3.67,0.396
2023-10-01,ORx_24912,SWU_UMAT0008,1.484,2.562,0.317
2023-10-01,ORx_24915,SWU_UMAT0008,1.484,9.296,1.15
2023-11-01,ORx_25334,SWU_UMAT0013,1.661,4.965,0.687
2023-11-01,ORx_25179,SWU_UMAT0013,1.661,0.958,0.133
2023-11-01,ORx_25338,SWU_UMAT0013,1.661,4.24,0.587
2023-11-01,ORx_25362,SWU_UMAT0012,1.661,3.67,0.508
2023-11-01,ORx_24912,SWU_UMAT0008,1.925,2.562,0.411
2023-11-01,ORx_24915,SWU_UMAT0008,1.925,9.296,1.491
2023-12-01,ORx_25334,SWU_UMAT0013,1.984,4.965,0.821
2023-12-01,ORx_25179,SWU_UMAT0013,1.984,0.958,0.158
2023-12-01,ORx_25338,SWU_UMAT0013,1.984,4.24,0.701
2023-12-01,ORx_25362,SWU_UMAT0012,1.984,3.67,0.607
2023-12-01,ORx_24912,SWU_UMAT0008,2.213,2.562,0.472
2023-12-01,ORx_24915,SWU_UMAT0008,2.213,9.296,1.714
