time,OPENET_ID,SWU_ID,et,acres,acre-feet
2022-10-01,ORx_25338,SWU_UMAT0013,1.218,4.24,0.43
2022-10-01,ORx_25362,SWU_UMAT0012,1.641,3.67,0.502
2022-10-01,ORx_24912,SWU_UMAT0008,1.954,2.562,0.417
2022-10-01,ORx_24915,SWU_UMAT0008,1.383,9.296,1.071
2022-11-01,ORx_25334,SWU_UMAT0013,0.137,4.965,0.057
2022-11-01,ORx_25179,SWU_UMAT0013,0.137,0.958,0.011
2022-11-01,ORx_25338,SWU_UMAT0013,0.086,4.24,0.03
2022-11-01,ORx_25362,SWU_UMAT0012,0.132,3.67,0.04
2022-11-01,ORx_24912,SWU_UMAT0008,0.159,2.562,0.034
2022-11-01,ORx_24915,SWU_UMAT0008,0.025,9.296,0.019
2022-12-01,ORx_25334,SWU_UMAT0013,0.099,4.965,0.041
2022-12-01,ORx_25179,SWU_UMAT0013,0.113,0.958,0.009
2022-12-01,ORx_25338,SWU_UMAT0013,0.078,4.24,0.028
2022-12-01,ORx_25362,SWU_UMAT0012,0.101,3.67,0.031
2022-12-01,ORx_24912,SWU_UMAT0008,0.016,2.562,0.003
2022-12-01,ORx_24915,SWU_UMAT0008,0.032,9.296,0.025
2023-01-01,ORx_25334,SWU_UMAT0013,0.152,4.965,0.063
2023-01-01,ORx_25179,SWU_UMAT0013,0.111,0.958,0.009
2023-01-01,ORx_25338,SWU_UMAT0013,0.13,4.24,0.046
2023-01-01,ORx_25362,SWU_UMAT0012,0.054,3.67,0.017
2023-01-01,ORx_24912,SWU_UMAT0008,0.171,2.562,0.037
2023-01-01,ORx_24915,SWU_UMAT0008,0.104,9.296,0.081
2023-02-01,ORx_25334,SWU_UMAT0013,0.14,4.965,0.058
2023-02-01,ORx_25179,SWU_UMAT0013,0.08,0.958,0.006
2023-02-01,ORx_25338,SWU_UMAT0013,0.201,4.24,0.071
2023-02-01,ORx_25362,SWU_UMAT0012,0.236,3.67,0.072
2023-02-01,ORx_24912,SWU_UMAT0008,0.309,2.562,0.066
2023-02-01,ORx_24915,SWU_UMAT0008,0.138,9.296,0.107
2023-03-01,ORx_25334,SWU_UMAT0013,0.75,4.965,0.31
2023-03-01,ORx_25179,SWU_UMAT0013,0.703,0.958,0.056
2023-03-01,ORx_25338,SWU_UMAT0013,0.954,4.24,0.337
2023-03-01,ORx_25362,SWU_UMAT0012,1.625,3.67,0.497
2023-03-01,ORx_24912,SWU_UMAT0008,1.743,2.562,0.372
2023-03-01,ORx_24915,SWU_UMAT0008,0.974,9.296,0.755
2023-04-01,ORx_25334,SWU_UMAT0013,1.097,4.965,0.454
2023-04-01,ORx_25179,SWU_UMAT0013,1.242,0.958,0.099
2023-04-01,ORx_25338,SWU_UMAT0013,1.32,4.24,0.466
2023-04-01,ORx_25362,SWU_UMAT0012,1.075,3.67,0.329
2023-04-01,ORx_24912,SWU_UMAT0008,2.072,2.562,0.442
2023-04-01,ORx_24915,SWU_UMAT0008,1.36,9.296,1.054
2023-05-01,ORx_25334,SWU_UMAT0013,3.413,4.965,1.412
2023-05-01,ORx_25179,SWU_UMAT0013,3.646,0.958,0.291
2023-05-01,ORx_25338,SWU_UMAT0013,3.668,4.24,1.296
2023-05-01,ORx_25362,SWU_UMAT0012,4.023,3.67,1.23
2023-05-01,ORx_24912,SWU_UMAT0008,3.922,2.562,0.837
2023-05-01,ORx_24915,SWU_UMAT0008,3.072,9.296,2.38
2023-06-01,ORx_25334,SWU_UMAT0013,4.439,4.965,1.837
2023-06-01,ORx_25179,SWU_UMAT0013,4.665,0.958,0.372
2023-06-01,ORx_25338,SWU_UMAT0013,4.516,4.24,1.596
2023-06-01,ORx_25362,SWU_UMAT0012,4.8,3.67,1.468
2023-06-01,ORx_24912,SWU_UMAT0008,4.99,2.562,1.065
2023-06-01,ORx_24915,SWU_UMAT0008,5.44,9.296,4.214
2023-07-01,ORx_25334,SWU_UMAT0013,5.691,4.965,2.355
2023-07-01,ORx_25179,SWU_UMAT0013,5.968,0.958,0.476
2023-07-01,ORx_25338,SWU_UMAT0013,5.472,4.24,1.933
2023-07-01,ORx_25362,SWU_UMAT0012,6.097,3.67,1.865
2023-07-01,ORx_24912,SWU_UMAT0008,5.753,2.562,1.228
2023-07-01,ORx_24915,SWU_UMAT0008,5.455,9.296,4.226
2023-08-01,ORx_25334,SWU_UMAT0013,4.31,4.965,1.783
2023-08-01,ORx_25179,SWU_UMAT0013,4.523,0.958,0.361
2023-08-01,ORx_25338,SWU_UMAT0013,4.236,4.24,1.497
2023-08-01,ORx_25362,SWU_UMAT0012,6.002,3.67,1.836
2023-08-01,ORx_24912,SWU_UMAT0008,4.994,2.562,1.066
2023-08-01,ORx_24915,SWU_UMAT0008,4.864,9.296,3.768
2023-09-01,ORx_25334,SWU_UMAT0013,2.585,4.965,1.07
2023-09-01,ORx_25179,SWU_UMAT0013,2.69,0.958,0.215
2023-09-01,ORx_25338,SWU_UMAT0013,2.788,4.24,0.985
2023-09-01,ORx_25362,SWU_UMAT0012,3.548,3.67,1.085
2023-09-01,ORx_24912,SWU_UMAT0008,3.272,2.562,0.699
2023-09-01,ORx_24915,SWU_UMAT0008,3.418,9.296,2.648
2023-10-01,ORx_25334,SWU_UMAT0013,1.702,4.965,0.704
2023-10-01,ORx_25179,SWU_UMAT0013,1.472,0.958,0.118
2023-10-01,ORx_25338,SWU_UMAT0013,1.77,4.24,0.625
2023-10-01,ORx_25362,SWU_UMAT0012,2.2,3.67,0.673
2023-10-01,ORx_24912,SWU_UMAT0008,1.728,2.562,0.369
2023-10-01,ORx_24915,SWU_UMAT0008,1.585,9.296,1.228
2023-11-01,ORx_25334,SWU_UMAT0013,0.601,4.965,0.249
2023-11-01,ORx_25179,SWU_UMAT0013,0.431,0.958,0.034
2023-11-01,ORx_25338,SWU_UMAT0013,0.566,4.24,0.2
2023-11-01,ORx_25362,SWU_UMAT0012,0.684,3.67,0.209
2023-11-01,ORx_24912,SWU_UMAT0008,0.93,2.562,0.199
2023-11-01,ORx_24915,SWU_UMAT0008,0.967,9.296,0.749
2023-12-01,ORx_25334,SWU_UMAT0013,0.064,4.965,0.026
2023-12-01,ORx_25179,SWU_UMAT0013,0.0,0.958,0.0
2023-12-01,ORx_25338,SWU_UMAT0013,0.129,4.24,0.046
2023-12-01,ORx_25362,SWU_UMAT0012,0.194,3.67,0.059
2023-12-01,ORx_24912,SWU_UMAT0008,0.109,2.562,0.023
2023-12-01,ORx_24915,SWU_UMAT0008,0.116,9.296,0.09
