time,OPENET_ID,SWU_ID,et,acres,acre-feet
2022-10-01,ORx_25338,SWU_UMAT0013,2.74,4.24,0.968
2022-10-01,ORx_25362,SWU_UMAT0012,2.718,3.67,0.831
2022-10-01,ORx_24912,SWU_UMAT0008,2.383,2.562,0.509
2022-10-01,ORx_24915,SWU_UMAT0008,2.028,9.296,1.571
2022-11-01,ORx_25334,SWU_UMAT0013,0.931,4.965,0.385
2022-11-01,ORx_25179,SWU_UMAT0013,0.946,0.958,0.076
2022-11-01,ORx_25338,SWU_UMAT0013,0.965,4.24,0.341
2022-11-01,ORx_25362,SWU_UMAT0012,0.926,3.67,0.283
2022-11-01,ORx_24912,SWU_UMAT0008,0.945,2.562,0.202
2022-11-01,ORx_24915,SWU_UMAT0008,0.945,9.296,0.732
2022-12-01,ORx_25334,SWU_UMAT0013,0.457,4.965,0.189
2022-12-01,ORx_25179,SWU_UMAT0013,0.472,0.958,0.038
2022-12-01,ORx_25338,SWU_UMAT0013,0.475,4.24,0.168
2022-12-01,ORx_25362,SWU_UMAT0012,0.542,3.67,0.166
2022-12-01,ORx_24912,SWU_UMAT0008,0.302,2.562,0.064
2022-12-01,ORx_24915,SWU_UMAT0008,0.155,9.296,0.12
2023-01-01,ORx_25334,SWU_UMAT0013,1.086,4.965,0.449
2023-01-01,ORx_25179,SWU_UMAT0013,1.102,0.958,0.088
2023-01-01,ORx_25338,SWU_UMAT0013,1.092,4.24,0.386
2023-01-01,ORx_25362,SWU_UMAT0012,1.102,3.67,0.337
2023-01-01,ORx_24912,SWU_UMAT0008,0.826,2.562,0.176
2023-01-01,ORx_24915,SWU_UMAT0008,0.742,9.296,0.575
2023-02-01,ORx_25334,SWU_UMAT0013,1.339,4.965,0.554
2023-02-01,ORx_25179,SWU_UMAT0013,1.404,0.958,0.112
2023-02-01,ORx_25338,SWU_UMAT0013,1.381,4.24,0.488
2023-02-01,ORx_25362,SWU_UMAT0012,1.468,3.67,0.449
2023-02-01,ORx_24912,SWU_UMAT0008,0.943,2.562,0.201
2023-02-01,ORx_24915,SWU_UMAT0008,0.745,9.296,0.577
2023-03-01,ORx_25334,SWU_UMAT0013,2.427,4.965,1.004
2023-03-01,ORx_25179,SWU_UMAT0013,2.526,0.958,0.202
2023-03-01,ORx_25338,SWU_UMAT0013,2.537,4.24,0.896
